Filename                                                     Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
quilt-analysis/src/agent_store/engine.rs                         243                62    74.49%          45                17    62.22%         186                51    72.58%           0                 0         -
quilt-analysis/src/agent_store/store.rs                          255                17    93.33%          17                 1    94.12%         196                 9    95.41%           0                 0         -
quilt-analysis/src/agent_store/types.rs                           94                 3    96.81%          10                 1    90.00%          81                 7    91.36%           0                 0         -
quilt-analysis/src/connection_engine/engine.rs                   476                65    86.34%          57                18    68.42%         311                59    81.03%           0                 0         -
quilt-analysis/src/connection_engine/types.rs                     43                 0   100.00%           7                 0   100.00%          50                 0   100.00%           0                 0         -
quilt-analysis/src/structural_mirror/engine.rs                   261                35    86.59%          33                15    54.55%         149                33    77.85%           0                 0         -
quilt-analysis/src/structural_mirror/graph.rs                    931                14    98.50%          57                 3    94.74%         474                11    97.68%           0                 0         -
quilt-analysis/src/structural_mirror/types.rs                     64                 3    95.31%           7                 1    85.71%          50                 7    86.00%           0                 0         -
quilt-analysis/src/structure_gardener/engine.rs                  552                76    86.23%          73                24    67.12%         424                70    83.49%           0                 0         -
quilt-analysis/src/structure_gardener/types.rs                   144                 0   100.00%          11                 0   100.00%         122                 0   100.00%           0                 0         -
quilt-analysis/src/structure_mapper/engine.rs                    780                90    88.46%          73                16    78.08%         527                78    85.20%           0                 0         -
quilt-analysis/src/structure_mapper/types.rs                     160                 0   100.00%          12                 0   100.00%         134                 0   100.00%           0                 0         -
quilt-application/src/bootstrap.rs                                 5                 5     0.00%           1                 1     0.00%          13                13     0.00%           0                 0         -
quilt-application/src/services/ref_service.rs                    452                38    91.59%          42                12    71.43%         268                31    88.43%           0                 0         -
quilt-application/src/use_cases/block.rs                          40                37     7.50%           5                 4    20.00%          37                31    16.22%           0                 0         -
quilt-application/src/use_cases/page.rs                            4                 1    75.00%           2                 1    50.00%           7                 1    85.71%           0                 0         -
quilt-application/src/use_cases/resource.rs                       24                20    16.67%           5                 4    20.00%          24                17    29.17%           0                 0         -
quilt-application/src/use_cases/search.rs                        313                17    94.57%          46                 4    91.30%         200                17    91.50%           0                 0         -
quilt-bin/src/main.rs                                             56                56     0.00%           2                 2     0.00%          23                23     0.00%           0                 0         -
quilt-core/src/graph/analysis.rs                                 889                 4    99.55%          47                 0   100.00%         384                 2    99.48%           0                 0         -
quilt-core/src/graph/force_simulation.rs                         647               114    82.38%          47                13    72.34%         422                75    82.23%           0                 0         -
quilt-core/src/outliner/history.rs                              1073                41    96.18%          61                 0   100.00%         654                23    96.48%           0                 0         -
quilt-core/src/outliner/page.rs                                 1282                36    97.19%          45                 1    97.78%         758                20    97.36%           0                 0         -
quilt-core/src/outliner/tree.rs                                 1522                71    95.34%          88                 7    92.05%         847                42    95.04%           0                 0         -
quilt-core/src/parser/autocomplete.rs                            357                20    94.40%          34                 2    94.12%         229                16    93.01%           0                 0         -
quilt-core/src/parser/autocomplete_pipeline.rs                   372                 9    97.58%          18                 0   100.00%         233                 5    97.85%           0                 0         -
quilt-core/src/parser/inline.rs                                 1616               182    88.74%          66                 0   100.00%         932               136    85.41%           0                 0         -
quilt-core/src/parser/providers.rs                               496                12    97.58%          47                 3    93.62%         296                12    95.95%           0                 0         -
quilt-core/src/parser/semantic_adapter.rs                        144                38    73.61%           9                 1    88.89%          69                20    71.01%           0                 0         -
quilt-core/src/query/ast.rs                                       22                22     0.00%           2                 2     0.00%          11                11     0.00%           0                 0         -
quilt-core/src/query/parser.rs                                   941               193    79.49%          80                11    86.25%         610               124    79.67%           0                 0         -
quilt-core/src/schema/classes.rs                                 294                13    95.58%          29                 2    93.10%         180                13    92.78%           0                 0         -
quilt-core/src/schema/properties.rs                              690                34    95.07%          59                 3    94.92%         449                25    94.43%           0                 0         -
quilt-core/src/scoring/connection.rs                             202                 0   100.00%          20                 0   100.00%          90                 0   100.00%           0                 0         -
quilt-core/src/search/fts.rs                                     301                 2    99.34%          35                 0   100.00%         181                 2    98.90%           0                 0         -
quilt-core/src/sync/crdt.rs                                      533                46    91.37%          39                 7    82.05%         361                54    85.04%           0                 0         -
quilt-core/src/types.rs                                           12                12     0.00%           1                 1     0.00%           6                 6     0.00%           0                 0         -
quilt-domain/src/entities/asset.rs                                85                 4    95.29%          11                 1    90.91%          64                 4    93.75%           0                 0         -
quilt-domain/src/entities/block.rs                               296                79    73.31%          22                 8    63.64%         235                56    76.17%           0                 0         -
quilt-domain/src/entities/file.rs                                143                32    77.62%          18                 7    61.11%         112                26    76.79%           0                 0         -
quilt-domain/src/entities/journal.rs                              34                34     0.00%           8                 8     0.00%          34                34     0.00%           0                 0         -
quilt-domain/src/entities/page.rs                                267                33    87.64%          21                 6    71.43%         203                28    86.21%           0                 0         -
quilt-domain/src/entities/tag.rs                                  50                 6    88.00%           8                 2    75.00%          35                 6    82.86%           0                 0         -
quilt-domain/src/entities/user_settings.rs                       152                 3    98.03%          14                 0   100.00%         128                 3    97.66%           0                 0         -
quilt-domain/src/errors/domain_error.rs                           47                38    19.15%           1                 0   100.00%          32                25    21.88%           0                 0         -
quilt-domain/src/references/ref_.rs                               71                 0   100.00%           6                 0   100.00%          35                 0   100.00%           0                 0         -
quilt-domain/src/references/ref_index.rs                         517                10    98.07%          33                 1    96.97%         219                 8    96.35%           0                 0         -
quilt-domain/src/references/ref_type.rs                           72                 0   100.00%           7                 0   100.00%          45                 0   100.00%           0                 0         -
quilt-domain/src/repositories/block_repository.rs                  4                 4     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
quilt-domain/src/repositories/page_repository.rs                   6                 6     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
quilt-domain/src/repositories/settings_repository.rs               2                 2     0.00%           1                 1     0.00%           2                 2     0.00%           0                 0         -
quilt-domain/src/repositories/tag_repository.rs                    7                 7     0.00%           3                 3     0.00%           5                 5     0.00%           0                 0         -
quilt-domain/src/services/order_utils.rs                         238                 6    97.48%          24                 0   100.00%         136                 4    97.06%           0                 0         -
quilt-domain/src/services/outliner_service.rs                    173                96    44.51%          20                12    40.00%         123                67    45.53%           0                 0         -
quilt-domain/src/services/timezone_service.rs                    126                31    75.40%          17                 5    70.59%          66                18    72.73%           0                 0         -
quilt-domain/src/value_objects/align.rs                           54                11    79.63%           5                 1    80.00%          30                 7    76.67%           0                 0         -
quilt-domain/src/value_objects/asset_type.rs                     121                29    76.03%          10                 2    80.00%          65                18    72.31%           0                 0         -
quilt-domain/src/value_objects/block_format.rs                    49                12    75.51%           6                 2    66.67%          32                10    68.75%           0                 0         -
quilt-domain/src/value_objects/journal_day.rs                    312                19    93.91%          41                 5    87.80%         173                13    92.49%           0                 0         -
quilt-domain/src/value_objects/priority.rs                        51                32    37.25%           9                 6    33.33%          40                26    35.00%           0                 0         -
quilt-domain/src/value_objects/property_value.rs                 179                95    46.93%          18                 8    55.56%         109                56    48.62%           0                 0         -
quilt-domain/src/value_objects/task_marker.rs                     89                30    66.29%          12                 5    58.33%          65                29    55.38%           0                 0         -
quilt-domain/src/value_objects/uuid.rs                            69                 8    88.41%          14                 2    85.71%          47                 6    87.23%           0                 0         -
quilt-infrastructure/src/database/in_memory/block.rs             298                42    85.91%          41                16    60.98%         157                32    79.62%           0                 0         -
quilt-infrastructure/src/database/in_memory/page.rs              328                10    96.95%          39                 5    87.18%         156                 8    94.87%           0                 0         -
quilt-infrastructure/src/database/in_memory/tag.rs               295                 0   100.00%          28                 0   100.00%         116                 0   100.00%           0                 0         -
quilt-infrastructure/src/database/sqlite/connection.rs           165                48    70.91%           8                 4    50.00%         252                12    95.24%           0                 0         -
quilt-infrastructure/src/database/sqlite/repositories.rs        1521               186    87.77%         211                78    63.03%         775               126    83.74%           0                 0         -
quilt-mcp/src/handlers/block.rs                                  260               157    39.62%          41                39     4.88%         168                76    54.76%           0                 0         -
quilt-mcp/src/handlers/page.rs                                    65                29    55.38%          13                11    15.38%          51                17    66.67%           0                 0         -
quilt-mcp/src/handlers/query.rs                                   55                21    61.82%          11                 9    18.18%          45                15    66.67%           0                 0         -
quilt-mcp/src/handlers/resource.rs                                68                34    50.00%          13                11    15.38%          56                26    53.57%           0                 0         -
quilt-mcp/src/serialization.rs                                    34                34     0.00%           4                 4     0.00%          17                17     0.00%           0                 0         -
quilt-mcp/src/server.rs                                          348                49    85.92%          35                 5    85.71%         267                40    85.02%           0                 0         -
quilt-platform/src/cli.rs                                        417               260    37.65%          37                23    37.84%         257               164    36.19%           0                 0         -
quilt-query/src/dialect.rs                                        37                34     8.11%           5                 4    20.00%          28                25    10.71%           0                 0         -
quilt-query/src/executor.rs                                      791               120    84.83%          42                 2    95.24%         410                64    84.39%           0                 0         -
quilt-query/src/parser.rs                                        963               213    77.88%          82                13    84.15%         620               130    79.03%           0                 0         -
quilt-query/src/time_helpers.rs                                  359                 9    97.49%          29                 0   100.00%         170                 1    99.41%           0                 0         -
quilt-search/src/indexing.rs                                     247                12    95.14%          21                 6    71.43%         187                 6    96.79%           0                 0         -
quilt-search/src/sanitize.rs                                     389                 2    99.49%          31                 0   100.00%         197                 2    98.98%           0                 0         -
quilt-search/src/search.rs                                      1198                45    96.24%          94                 9    90.43%         816                24    97.06%           0                 0         -
quilt-server/src/error.rs                                         19                 0   100.00%           1                 0   100.00%          16                 0   100.00%           0                 0         -
quilt-server/src/handlers/blocks.rs                              274               112    59.12%          95                55    42.11%         225                82    63.56%           0                 0         -
quilt-server/src/handlers/frontend.rs                             91                91     0.00%           6                 6     0.00%         106               106     0.00%           0                 0         -
quilt-server/src/handlers/health.rs                                4                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
quilt-server/src/handlers/metrics.rs                              36                36     0.00%           3                 3     0.00%          36                36     0.00%           0                 0         -
quilt-server/src/handlers/navigate.rs                             32                23    28.12%           8                 7    12.50%          29                24    17.24%           0                 0         -
quilt-server/src/handlers/pages.rs                               189                69    63.49%          60                38    36.67%         147                48    67.35%           0                 0         -
quilt-server/src/handlers/search.rs                               25                 2    92.00%           6                 0   100.00%          24                 1    95.83%           0                 0         -
quilt-server/src/handlers/settings.rs                             32                10    68.75%          13                 5    61.54%          25                 5    80.00%           0                 0         -
quilt-server/src/handlers/websocket.rs                           130               130     0.00%          10                10     0.00%         100               100     0.00%           0                 0         -
quilt-server/src/main.rs                                         135               135     0.00%           9                 9     0.00%          76                76     0.00%           0                 0         -
quilt-server/src/middleware/auth.rs                              700                 2    99.71%          78                 0   100.00%         572                 1    99.83%           0                 0         -
quilt-server/src/routes.rs                                        49                 2    95.92%           1                 0   100.00%          33                 2    93.94%           0                 0         -
quilt-server/src/state.rs                                         40                 2    95.00%           5                 1    80.00%          57                 1    98.25%           0                 0         -
quilt-test-helpers/src/fixtures/page_with_blocks.rs              122                 8    93.44%          10                 2    80.00%          76                 7    90.79%           0                 0         -
quilt-test-helpers/src/in_memory/block.rs                        247                59    76.11%          44                24    45.45%         175                44    74.86%           0                 0         -
quilt-test-helpers/src/in_memory/page.rs                         145                37    74.48%          34                17    50.00%          99                32    67.68%           0                 0         -
quilt-test-helpers/src/in_memory/tag.rs                          138                24    82.61%          26                 9    65.38%          85                18    78.82%           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                          29750              4062    86.35%        2762               692    74.95%       18665              2873    84.61%           0                 0         -
